word,definition
hobble,to hold back the progress of something.
hoodwink,to deceive or trick someone.
hubris,overbearing pride or presumption.
illustrious,widely known and esteemed; having or conferring glory Einstein was possibly the most illustrious scientist in recent history.
imbibe,to drink or absorb as if drinking.
imbroglio,a confusing and potentially embarrassing situation.
immure,"to enclose, usually in walls."
impecunious,lacking money; poor.
imperious,having or showing arrogant superiority to and disdain of those one views as unworthy.
impervious,not admitting of passage or capable of being affected I am not impervious to your insults; they cause me great pain.
impetuous,"characterized by undue haste and lack of thought or deliberation Herbert is rarely impetuous, but on the spur of the moment, he spent thousands of dollars on a motorcycle today."
importuned,beg persistently and urgently.
improvident,not given careful consideration.
impugn,attack as false or wrong.
impute,attribute (responsibility or fault) to something.
inanity,total lack of meaning or ideas.
incontrovertible,necessarily or demonstrably true; impossible to deny or disprove.
indigent,poor; having very little.
ineffable,too sacred to be uttered; defying expression or description.
ineluctable,impossible to avoid or evade:.
inequity,injustice by virtue of not conforming with rules or standards.
infelicitous,inappropriate.
inimitable,defying imitation; matchless.
insouciance,lack of concern.
insufferable,"intolerable, difficult to endure."
internecine,(of conflict) within a group or organization.
intimation,an indirect suggestion.
inure,to make accustomed to something unpleasant.
invective,abusive or denunciatory language.
invidious,likely to cause resentment.
inviolable,"never to be broken, infringed, or dishonored."
inviolate,must be kept sacred.
irrefutable,impossible to deny or disprove.
jaundice,to be biased against due to envy or prejudice.
jejune,dull; lacking flavor.
jingoist,a person who thinks that their country should be at war.
juggernaut,a force that cannot be stopped.
kowtow,to bow or act in a subservient manner.
lacerate,deeply hurt the feelings of; distress.
lachrymose,showing sorrow.
languish,become feeble.
lascivious,lecherous; sexually perverted.
limpid,clarity in terms of expression.
litany,any long and tedious account of something.
loath,unwillingness to do something contrary to your custom (usually followed by 'to') I was loath to leave the concert before my favorite band finished playing.
lugubrious,excessively mournful.
machinate,"engage in plotting or enter into a conspiracy, swear together The rebels met at night in an abandoned barn to machinate."
magisterial,offensively self-assured or given to exercising unwarranted power.
malapropism,the confusion of a word with another word that sounds similar.
malfeasance,misconduct or wrongdoing (especially by a public official).
malingerer,someone shirking their duty by pretending to be sick or incapacitated.
martinet,a strict disciplinarian.
maudlin,overly emotional and sad.
maunder,wander aimlessly.
mellifluous,smooth and sweet-sounding.
mendicant,a pauper who lives by begging.
meteoric,like a meteor in speed or brilliance or transience.
mettlesome,filled with courage or valor.
misattribute,To erroneously attribute; to falsely ascribe; used especially of authorship.
modicum,a small or moderate or token amount.
mordant,"biting and caustic in thought, manner, or style."
moribund,"being on the point of death; declining rapidly losing all momentum in progress Whether you like it or not, jazz as a genre is moribund at best, possibly already dead."
mulct,to defraud or swindle.
nadir,the lowest point.
nettlesome,causing irritation or annoyance.
noisome,having an extremely bad smell.
nonchalant,coming across as cooly uninterested.
objurgate,express strong disapproval of.
oblique,not straightforward; indirect.
obstreperous,noisily and stubbornly defiant; willfully difficult to control.
obtain,"be valid, applicable, or true."
obtuse,slow to learn or understand; lacking intellectual acuity; lacking in insight or discernment.
ossify,make rigid and set into a conventional pattern.
overweening,arrogant; presumptuous.
palatable,acceptable to the taste or mind.
palaver,speak (about unimportant matters) rapidly and incessantly.
palimpsest,something that has been changed numerous times but on which traces of former iterations can still be seen.
panacea,hypothetical remedy for all ills or diseases; a universal solution.
panegyric,a formal expression of praise.
paragon,model of excellence or perfection of a kind; one having no equal.
parvenu,"a person who has suddenly become wealthy, but not socially accepted as part of a higher class."
pecuniary,relating to or involving money.
pellucid,transparently clear; easily understandable.
penurious,lacking money; poor.
percipient,highly perceptive.
peremptory,bossy and domineering.
perfunctory,done routinely and with little interest or care.
peripatetic,traveling by foot.
perspicacious,acutely insightful and wise.
phantasmagorical,illusive; unreal.
philistine,smug and ignorant towards artistic and cultural values.
phlegmatic,showing little emotion.
picayune,trifling or petty (a person).
pillory,ridicule or expose to public scorn.
plucky,marked by courage and determination.
Pollyannaish,extremely optimistic.
pontificate,talk in a dogmatic and pompous manner.
portentous,ominously prophetic.
precipitate,hasty or rash.
presentiment,a feeling of evil to come.
primacy,the state of being first in importance.
prognostication,a statement made about the future.
prolixity,boring verbosity.
promulgate,state or announce.
propitiate,to placate or appease.
proselytize,"convert to another religion, philosophy, or perspective."
protean,readily taking on different roles; versatile.
provident,careful in regard to your own interests; providing carefully for the future.
puerile,of or characteristic of a child; displaying or suggesting a lack of maturity.
puissant,powerful.
punctilious,marked by precise accordance with details.
pyrrhic,describing a victory that comes at such a great cost that the victory is not worthwhile George W.
quail,"draw back, as with fear or pain."
quisling,a traitor.
quixotic,wildly idealistic; impractical.
raconteur,a person skilled in telling anecdotes.
raillery,light teasing.
rapprochement,the reestablishing of cordial relations.
rarefied,make more subtle or refined.
recapitulation,a summary (think of recap).
recrimination,mutual accusations.
recrudesce,to break out or happen again.
redoubtable,inspiring fear or awe.
remonstrate,to make objections while pleading.
reprisal,a retaliatory action against an enemy in wartime.
ribald,humorously vulgar.
row,an angry dispute.
sangfroid,calmness or poise in difficult situations.
sardonic,disdainfully or ironically humorous; scornful and mocking.
sartorial,related to fashion or clothes.
saturnine,morose or gloomy.
schadenfreude,joy from watching the suffering of others.
effacing,reluctant to draw attention to yourself.
semblance,an outward or token appearance or form that is deliberately misleading.
sententious,"to be moralizing, usually in a pompous sense."
simulacrum,a representation of a person (especially in the form of sculpture).
sinecure,an office that involves minimal duties.
solecism,a socially awkward or tactless act.
solicitude,a feeling of excessive concern.
splenetic,very irritable.
squelch,suppress or crush completely.
stalwart,dependable; inured to fatigue or hardships.
stultify,"cause one, through routine, to lose energy and enthusiasm."
subterfuge,something intended to misrepresent the true nature of an activity.
supercilious,haughty and disdainful; looking down on others.
surreptitious,"stealty, taking pains not to be caught or detected."
sybarite,a person who indulges in luxury.
temerity,fearless daring.
tempestuous,as if driven by turbulent or conflicting emotions; highly energetic and wildly changing or fluctuating.
tendentious,likely to lean towards a controversial view.
transmute,"change or alter in form, appearance, or nature."
trenchant,"characterized by or full of force and vigor; having keenness and forcefulness and penetration in thought, expression, or intellect."
truculence,defiant aggressiveness.
truculent,"having a fierce, savage nature."
turgid,(of language) pompous and tedious.
turpitude,depravity; a depraved act.
tyro,someone new to a field or activity.
umbrage,a feeling of anger caused by being offended.
unassailable,immune to attack; without flaws.
unflappable,not easily perturbed or excited or upset; marked by extreme calm and composure.
unforthcoming,"uncooperative, not willing to give up information."
unimpeachable,free of guilt; not subject to blame; beyond doubt or reproach.
unprepossessing,creating an unfavorable or neutral first impression.
unpropitious,(of a circumstance) with little chance of success.
unstinting,very generous.
untenable,(of theories etc) incapable of being defended or justified.
untoward,unfavorable; inconvenient.
untrammeled,not confined or limited.
unviable,"not able to work, survive, or succeed (also spelled inviable)."
vaunted,highly or widely praised or boasted about.
venial,easily excused or forgiven; pardonable.
verisimilitude,the appearance of truth.
veritable,"truthfully, without a doubt."
vicissitude,"change in one""s circumstances, usually for the worse."
vitriol,abusive or venomous language used to express blame or bitter deep-seated ill will His vitriol spewed forth from a deep-seated racisim that consumed his whole life.
vitriolic,harsh or corrosive in tone.
zeitgeist,spirit of the times.
abeyance,temporary cessation or suspension
abscond,"run away, often taking something or somebody along"
abstemious,marked by temperance in indulgence
adulterate,make impure by adding a foreign or inferior substance
amalgamate,bring or combine together or with something else
ambivalence,mixed feelings or emotions
apprise,inform somebody of something
approbation,official acceptance or agreement
assiduous,marked by care and persistent effort
beneficent,doing or producing good
bombastic,ostentatiously lofty in style
burnish,polish and make shiny
cacophonous,having an unpleasant sound
castigation,verbal punishment
chicanery,the use of tricks to deceive someone
coagulate,change from a liquid to a thickened or solid state
coda,the closing section of a musical composition
compendium,a publication containing a variety of works
contention,the act of competing as for profit or a prize
desultory,"marked by lack of definite plan, purpose, or enthusiasm"
dichotomy,a classification into two opposed parts or subclasses
diffidence,lack of self-assurance
diffuse,spread out; not concentrated in one place
digression,a message that departs from the main subject
dirge,a song or hymn of mourning as a memorial to a dead person
discordant,not in agreement or harmony
disparage,express a negative opinion of
distend,cause to expand as if by internal pressure
elegy,a mournful poem; a lament for the dead
equanimity,steadiness of mind under stress
euphemism,an inoffensive expression substituted for an offensive one
exigency,a pressing or urgent situation
extrapolation,an inference about the future based on known facts
fatuous,devoid of intelligence
fawning,attempting to win favor by flattery
felicitous,exhibiting an agreeably appropriate manner or style
fervor,feelings of great warmth and intensity
flout,treat with contemptuous disregard
forestall,keep from happening or arising; make impossible
frugality,prudence in avoiding waste
gouge,"an impression in a surface, as made by a blow"
gullible,naive and easily deceived or tricked
idolatry,the worship of objects or images as gods
impassive,having or revealing little emotion or sensibility
imperturbable,marked by extreme calm and composure
inadvertently,without knowledge or intention
incongruity,the quality of disagreeing
indigence,a state of extreme poverty or destitution
indolent,disinclined to work or exertion
inert,unable to move or resist motion
insensible,barely able to be perceived
insinuate,suggest in an indirect or covert way; give to understand
insularity,the state of being isolated or detached
intransigence,stubborn refusal to compromise or change
inured,made tough by habitual exposure
itinerary,an established line of travel or access
latent,potentially existing but not presently evident or realized
laud,"praise, glorify, or honor"
levee,an embankment built to prevent a river from overflowing
luminous,softly bright or radiant
magnanimity,nobility and generosity of spirit
neophyte,any new participant in some activity
occlude,block passage through
penury,a state of extreme poverty or destitution
permeable,allowing fluids or gases to pass or diffuse through
piety,righteousness by virtue of being religiously devout
plasticity,the property of being physically malleable
plethora,extreme excess
porous,full of holes
problematic,making great mental demands
propensity,a natural inclination
pungent,strong and sharp to the sense of taste or smell
quiescent,being quiet or still or inactive
recalcitrant,stubbornly resistant to authority or control
recant,formally reject or disavow a formerly held belief
sage,a mentor in spiritual and philosophical topics
satiate,fill to satisfaction
secrete,generate and separate from cells or bodily fluids
shard,a broken piece of a brittle artifact
stigma,a symbol of disgrace or infamy
stint,supply sparingly and with restricted quantities
stipulate,make an express demand or provision in an agreement
strut,"walk in a proud, confident way"
subpoena,a writ issued to compel the attendance of a witness
supposition,the cognitive process of conjecturing
transgression,the violation of a law or a duty or moral principle
viscous,having a relatively high resistance to flow
vituperative,marked by harshly abusive criticism
welter,a confused multitude of things
zealot,a fervent and even militant proponent of something
